Larceny,2500 block Erie Blvd E,Syracuse,12/10/15
Larceny,4700 block Onondaga Blvd,Syracuse,12/10/15
Larceny,0 block Destiny Usa Dr,Syracuse,12/10/15
Larceny,2600 block Erie Blvd E,Syracuse,12/10/15
Larceny,500 block S Clinton St,Syracuse,12/10/15
Larceny,600 block Park Av,Syracuse,12/10/15
Larceny,2500 block Erie Blvd E,Syracuse,12/10/15
Larceny,800 block Erie Blvd W,Syracuse,12/10/15
Larceny,100 block E Water St,Syracuse,12/10/15
Larceny,1100 block N Salina St,Syracuse,12/10/15
Larceny,800 block Erie Blvd W,Syracuse,12/10/15
Larceny,1100 block Milton Av,Syracuse,12/10/15
Robbery,100 block Milburn Dr,Syracuse,12/10/15
Vehicle theft,100 block Sabine St,Syracuse,12/10/15
Aggravated assault,700 block James St,Syracuse,12/9/15
Aggravated assault,4500 block W Seneca Tpke,Syracuse,12/9/15
Burglary,2900 block E Genesee St,Syracuse,12/9/15
Burglary,100 block Knaul St,Syracuse,12/9/15
Larceny,100 block Park Way,Camillus,12/9/15
Larceny,500 block Towne Dr,Fayetteville,12/9/15
Larceny,3600 block Redhead Ter,Liverpool,12/9/15
Larceny,400 block Garden City Dr,Mattydale,12/9/15
Larceny,600 block Florida Rd,Mattydale,12/9/15
Larceny,400 block Fay Ln,Minoa,12/9/15
Larceny,1200 block Highland St,Syracuse,12/9/15
Larceny,700 block Ostrom Av,Syracuse,12/9/15
Larceny,800 block Ackerman Av,Syracuse,12/9/15
Larceny,1100 block Butternut St,Syracuse,12/9/15
Larceny,200 block Lakeview Av,Syracuse,12/9/15
Larceny,0 block Presidential Plaza,Syracuse,12/9/15
Larceny,400 block Butternut St,Syracuse,12/9/15
Robbery,0 block Shove Park Dr,Camillus,12/9/15
Robbery,3100 block Erie Blvd E,DeWitt,12/9/15
Robbery,2500 block Erie Blvd E,Syracuse,12/9/15
